COUNTRY,COUNTRY_CODE,GHE_CAUSE_TITLE,YEAR,DEATHS_100K
Australia,AUS,Acute hepatitis A,2000,0.102337191
Australia,AUS,Acute hepatitis A,2005,0.105376979
Australia,AUS,Acute hepatitis A,2010,0.08835139
Australia,AUS,Acute hepatitis A,2015,0.088465634
Australia,AUS,Acute hepatitis A,2019,0.066670748
Australia,AUS,Acute hepatitis B,2000,0.051785931
Australia,AUS,Acute hepatitis B,2005,0.075996557
Australia,AUS,Acute hepatitis B,2010,0.017655
Australia,AUS,Acute hepatitis B,2015,0.21467741
Australia,AUS,Acute hepatitis B,2019,0.161147287
Australia,AUS,Acute hepatitis C,2000,0.042846396
Australia,AUS,Acute hepatitis C,2005,0.234195883
Australia,AUS,Acute hepatitis C,2010,0.132855847
Australia,AUS,Acute hepatitis C,2015,0.948349272
Australia,AUS,Acute hepatitis C,2019,0.686491763
Australia,AUS,Acute hepatitis E,2000,0
Australia,AUS,Acute hepatitis E,2005,0.001842963
Australia,AUS,Acute hepatitis E,2010,0
Australia,AUS,Acute hepatitis E,2015,0.005919933
Australia,AUS,Acute hepatitis E,2019,0.004887006
Australia,AUS,African trypanosomiasis,2000,0
Australia,AUS,African trypanosomiasis,2005,0
Australia,AUS,African trypanosomiasis,2010,0
Australia,AUS,African trypanosomiasis,2015,0
Australia,AUS,African trypanosomiasis,2019,0
Australia,AUS,Alcohol use disorders,2000,1.466139855
Australia,AUS,Alcohol use disorders,2005,1.555907986
Australia,AUS,Alcohol use disorders,2010,1.54428499
Australia,AUS,Alcohol use disorders,2015,1.56470041
Australia,AUS,Alcohol use disorders,2019,1.503997806
Australia,AUS,Alzheimer disease and other dementias,2000,19.27635161
Australia,AUS,Alzheimer disease and other dementias,2005,28.81475051
Australia,AUS,Alzheimer disease and other dementias,2010,41.36105897
Australia,AUS,Alzheimer disease and other dementias,2015,55.58807766
Australia,AUS,Alzheimer disease and other dementias,2019,61.84935829
Australia,AUS,Anxiety disorders,2000,0
Australia,AUS,Anxiety disorders,2005,0.004165053
Australia,AUS,Anxiety disorders,2010,0.00827039
Australia,AUS,Anxiety disorders,2015,0
Australia,AUS,Anxiety disorders,2019,0.005682076
Australia,AUS,Appendicitis,2000,0.11704777
Australia,AUS,Appendicitis,2005,0.103339409
Australia,AUS,Appendicitis,2010,0.128152959
Australia,AUS,Appendicitis,2015,0.079914279
Australia,AUS,Appendicitis,2019,0.099566519
Australia,AUS,Ascariasis,2000,0
Australia,AUS,Ascariasis,2005,0
Australia,AUS,Ascariasis,2010,0
Australia,AUS,Ascariasis,2015,0
Australia,AUS,Ascariasis,2019,0
Australia,AUS,Asthma,2000,2.342267656
Australia,AUS,Asthma,2005,1.827225771
Australia,AUS,Asthma,2010,1.846296122
Australia,AUS,Asthma,2015,1.791445858
Australia,AUS,Asthma,2019,1.813382463
Australia,AUS,Autism and Asperger syndrome,2000,0
Australia,AUS,Autism and Asperger syndrome,2005,0
Australia,AUS,Autism and Asperger syndrome,2010,0
Australia,AUS,Autism and Asperger syndrome,2015,0
Australia,AUS,Autism and Asperger syndrome,2019,0
Australia,AUS,Back and neck pain,2000,0.123128027
Australia,AUS,Back and neck pain,2005,0.174508492
Australia,AUS,Back and neck pain,2010,0.208618474
Australia,AUS,Back and neck pain,2015,0.189493308
Australia,AUS,Back and neck pain,2019,0.252580212
Australia,AUS,Benign prostatic hyperplasia,2000,0.191190723
Australia,AUS,Benign prostatic hyperplasia,2005,0.228587569
Australia,AUS,Benign prostatic hyperplasia,2010,0.209082128
Australia,AUS,Benign prostatic hyperplasia,2015,0.24517021
Australia,AUS,Benign prostatic hyperplasia,2019,0.283916888
Australia,AUS,Bipolar disorder,2000,0.020913724
Australia,AUS,Bipolar disorder,2005,0.034576892
Australia,AUS,Bipolar disorder,2010,0.040733078
Australia,AUS,Bipolar disorder,2015,0.046140631
Australia,AUS,Bipolar disorder,2019,0.046407639
Australia,AUS,Bladder cancer,2000,4.638763287
Australia,AUS,Bladder cancer,2005,5.015375729
Australia,AUS,Bladder cancer,2010,5.166794458
Australia,AUS,Bladder cancer,2015,5.189933024
Australia,AUS,Bladder cancer,2019,4.711099106
Australia,AUS,Brain and nervous system cancers,2000,6.294626788
Australia,AUS,Brain and nervous system cancers,2005,6.181001587
Australia,AUS,Brain and nervous system cancers,2010,6.269316628
Australia,AUS,Brain and nervous system cancers,2015,6.45939114
Australia,AUS,Brain and nervous system cancers,2019,6.420241485
Australia,AUS,Breast cancer,2000,14.47683029
Australia,AUS,Breast cancer,2005,14.72727248
Australia,AUS,Breast cancer,2010,14.24710629
Australia,AUS,Breast cancer,2015,13.66861346
Australia,AUS,Breast cancer,2019,13.50828131
Australia,AUS,"Cardiomyopathy, myocarditis, endocarditis",2000,5.288918077
Australia,AUS,"Cardiomyopathy, myocarditis, endocarditis",2005,5.454722103
Australia,AUS,"Cardiomyopathy, myocarditis, endocarditis",2010,5.818110181
Australia,AUS,"Cardiomyopathy, myocarditis, endocarditis",2015,6.636191829
Australia,AUS,"Cardiomyopathy, myocarditis, endocarditis",2019,6.235544244
Australia,AUS,Cataracts,2000,0
Australia,AUS,Cataracts,2005,0
Australia,AUS,Cataracts,2010,0
Australia,AUS,Cataracts,2015,0
Australia,AUS,Cataracts,2019,0
Australia,AUS,Cervix uteri cancer,2000,1.595007676
Australia,AUS,Cervix uteri cancer,2005,1.474463776
Australia,AUS,Cervix uteri cancer,2010,1.456746593
Australia,AUS,Cervix uteri cancer,2015,1.317924835
Australia,AUS,Cervix uteri cancer,2019,1.351572634
Australia,AUS,Chagas disease,2000,0
Australia,AUS,Chagas disease,2005,0.001241393
Australia,AUS,Chagas disease,2010,0
Australia,AUS,Chagas disease,2015,0
Australia,AUS,Chagas disease,2019,0
Australia,AUS,Childhood behavioural disorders,2000,0
Australia,AUS,Childhood behavioural disorders,2005,0
Australia,AUS,Childhood behavioural disorders,2010,0
Australia,AUS,Childhood behavioural disorders,2015,0
Australia,AUS,Childhood behavioural disorders,2019,0
Australia,AUS,Chlamydia,2000,0
Australia,AUS,Chlamydia,2005,0
Australia,AUS,Chlamydia,2010,0
Australia,AUS,Chlamydia,2015,0.00378937
Australia,AUS,Chlamydia,2019,0
Australia,AUS,Chronic obstructive pulmonary disease,2000,31.42243629
Australia,AUS,Chronic obstructive pulmonary disease,2005,29.63037632
Australia,AUS,Chronic obstructive pulmonary disease,2010,27.54572747
Australia,AUS,Chronic obstructive pulmonary disease,2015,33.57292448
Australia,AUS,Chronic obstructive pulmonary disease,2019,33.66844663
Australia,AUS,Cirrhosis of the liver,2000,4.707524461
Australia,AUS,Cirrhosis of the liver,2005,5.02053792
Australia,AUS,Cirrhosis of the liver,2010,4.921379553
Australia,AUS,Cirrhosis of the liver,2015,5.711073148
Australia,AUS,Cirrhosis of the liver,2019,5.633067543
Australia,AUS,Collective violence and legal intervention,2000,0.022518136
Australia,AUS,Collective violence and legal intervention,2005,0.010592266
Australia,AUS,Collective violence and legal intervention,2010,0.059949387
Australia,AUS,Collective violence and legal intervention,2015,0.025962533
Australia,AUS,Collective violence and legal intervention,2019,0.021420292
Australia,AUS,Colon and rectum cancers,2000,28.28682323
Australia,AUS,Colon and rectum cancers,2005,27.61294208
Australia,AUS,Colon and rectum cancers,2010,26.27120907
Australia,AUS,Colon and rectum cancers,2015,25.80887209
Australia,AUS,Colon and rectum cancers,2019,24.63977339
Australia,AUS,Congenital anomalies,2000,3.633136429
Australia,AUS,Congenital anomalies,2005,3.330237208
Australia,AUS,Congenital anomalies,2010,3.2010957
Australia,AUS,Congenital anomalies,2015,2.807864519
Australia,AUS,Congenital anomalies,2019,2.821665475
Australia,AUS,Corpus uteri cancer,2000,1.412234763
Australia,AUS,Corpus uteri cancer,2005,1.546993611
Australia,AUS,Corpus uteri cancer,2010,1.509644889
Australia,AUS,Corpus uteri cancer,2015,2.015344603
Australia,AUS,Corpus uteri cancer,2019,2.078632547
Australia,AUS,Cysticercosis,2000,0
Australia,AUS,Cysticercosis,2005,0
Australia,AUS,Cysticercosis,2010,0
Australia,AUS,Cysticercosis,2015,0
Australia,AUS,Cysticercosis,2019,0
Australia,AUS,Dengue,2000,0.013740937
Australia,AUS,Dengue,2005,0
Australia,AUS,Dengue,2010,0.003645766
Australia,AUS,Dengue,2015,0
Australia,AUS,Dengue,2019,0
Australia,AUS,Depressive disorders,2000,0
Australia,AUS,Depressive disorders,2005,0
Australia,AUS,Depressive disorders,2010,0
Australia,AUS,Depressive disorders,2015,0
Australia,AUS,Depressive disorders,2019,0
Australia,AUS,Diabetes mellitus,2000,14.63528248
Australia,AUS,Diabetes mellitus,2005,16.25256094
Australia,AUS,Diabetes mellitus,2010,16.09539457
Australia,AUS,Diabetes mellitus,2015,17.78474781
Australia,AUS,Diabetes mellitus,2019,17.73662176
Australia,AUS,Diarrhoeal diseases,2000,0.16057352
Australia,AUS,Diarrhoeal diseases,2005,0.319727356
Australia,AUS,Diarrhoeal diseases,2010,0.384742262
Australia,AUS,Diarrhoeal diseases,2015,1.182355637
Australia,AUS,Diarrhoeal diseases,2019,1.166860903
Australia,AUS,Diphtheria,2000,0
Australia,AUS,Diphtheria,2005,0
Australia,AUS,Diphtheria,2010,0
Australia,AUS,Diphtheria,2015,0
Australia,AUS,Diphtheria,2019,0
Australia,AUS,Drowning,2000,1.235729645
Australia,AUS,Drowning,2005,0.971760112
Australia,AUS,Drowning,2010,1.043594775
Australia,AUS,Drowning,2015,0.785978447
Australia,AUS,Drowning,2019,0.699297799
Australia,AUS,Drug use disorders,2000,8.084082429
Australia,AUS,Drug use disorders,2005,5.682070177
Australia,AUS,Drug use disorders,2010,5.919092086
Australia,AUS,Drug use disorders,2015,6.903737625
Australia,AUS,Drug use disorders,2019,7.071329434
Australia,AUS,Eating disorders,2000,0
Australia,AUS,Eating disorders,2005,0
Australia,AUS,Eating disorders,2010,0
Australia,AUS,Eating disorders,2015,0
Australia,AUS,Eating disorders,2019,0
Australia,AUS,Echinococcosis,2000,0
Australia,AUS,Echinococcosis,2005,0
Australia,AUS,Echinococcosis,2010,0
Australia,AUS,Echinococcosis,2015,0
Australia,AUS,Echinococcosis,2019,0
Australia,AUS,Encephalitis,2000,0.013799764
Australia,AUS,Encephalitis,2005,0.01821071
Australia,AUS,Encephalitis,2010,0.018800762
Australia,AUS,Encephalitis,2015,0.009077435
Australia,AUS,Encephalitis,2019,0.012275671
Australia,AUS,Epilepsy,2000,1.338750865
Australia,AUS,Epilepsy,2005,1.429474611
Australia,AUS,Epilepsy,2010,1.292482047
Australia,AUS,Epilepsy,2015,1.281941318
Australia,AUS,Epilepsy,2019,1.126909754
Australia,AUS,Exposure to mechanical forces,2000,1.066820673
Australia,AUS,Exposure to mechanical forces,2005,0.88091324
Australia,AUS,Exposure to mechanical forces,2010,0.528861793
Australia,AUS,Exposure to mechanical forces,2015,0.475261342
Australia,AUS,Exposure to mechanical forces,2019,0.425438551
Australia,AUS,Falls,2000,2.958268996
Australia,AUS,Falls,2005,4.987952906
Australia,AUS,Falls,2010,7.568656989
Australia,AUS,Falls,2015,11.04883829
Australia,AUS,Falls,2019,12.36475012
Australia,AUS,"Fire, heat and hot substances",2000,0.513244287
Australia,AUS,"Fire, heat and hot substances",2005,0.435026236
Australia,AUS,"Fire, heat and hot substances",2010,0.314783743
Australia,AUS,"Fire, heat and hot substances",2015,0.246802313
Australia,AUS,"Fire, heat and hot substances",2019,0.213194868
Australia,AUS,Food-bourne trematodes,2000,0
Australia,AUS,Food-bourne trematodes,2005,0
Australia,AUS,Food-bourne trematodes,2010,0
Australia,AUS,Food-bourne trematodes,2015,0
Australia,AUS,Food-bourne trematodes,2019,0
Australia,AUS,Gallbladder and biliary diseases,2000,1.446368099
Australia,AUS,Gallbladder and biliary diseases,2005,1.534120511
Australia,AUS,Gallbladder and biliary diseases,2010,1.356722968
Australia,AUS,Gallbladder and biliary diseases,2015,1.797363961
Australia,AUS,Gallbladder and biliary diseases,2019,1.983094536
Australia,AUS,Gallbladder and biliary tract cancer,2000,1.885276288
Australia,AUS,Gallbladder and biliary tract cancer,2005,1.498051172
Australia,AUS,Gallbladder and biliary tract cancer,2010,1.305442352
Australia,AUS,Gallbladder and biliary tract cancer,2015,1.348285534
Australia,AUS,Gallbladder and biliary tract cancer,2019,1.273217226
Australia,AUS,Gastritis and duodenitis,2000,0.119325708
Australia,AUS,Gastritis and duodenitis,2005,0.113148928
Australia,AUS,Gastritis and duodenitis,2010,0.10536496
Australia,AUS,Gastritis and duodenitis,2015,0.10195311
Australia,AUS,Gastritis and duodenitis,2019,0.058631709
Australia,AUS,Genital herpes,2000,0
Australia,AUS,Genital herpes,2005,0
Australia,AUS,Genital herpes,2010,0
Australia,AUS,Genital herpes,2015,0
Australia,AUS,Genital herpes,2019,0
Australia,AUS,Glaucoma,2000,0
Australia,AUS,Glaucoma,2005,0.004026247
